# Matter power spectrum P(k) at redshift z=0
# for k=1.02888e-05 to 7545.77 h/Mpc,
# number of wavenumbers equal to 857
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028876163718e-05       5.018210816291e+01 
       1.052841768257e-05       5.131315946270e+01 
       1.077365603438e-05       5.246971909636e+01 
       1.102460672122e-05       5.365233502319e+01 
       1.128140280048e-05       5.486161390465e+01 
       1.154418042883e-05       5.609816068703e+01 
       1.181307893444e-05       5.736256190504e+01 
       1.208824089088e-05       5.865546177982e+01 
       1.236981219263e-05       5.997750034561e+01 
       1.265794213255e-05       6.132934019456e+01 
       1.295278348094e-05       6.271163999648e+01 
       1.325449256657e-05       6.412510983298e+01 
       1.356322935961e-05       6.557042690662e+01 
       1.387915755639e-05       6.704832662146e+01 
       1.420244466621e-05       6.855954093190e+01 
       1.453326210019e-05       7.010479556133e+01 
       1.487178526210e-05       7.168488874393e+01 
       1.521819364141e-05       7.330059327549e+01 
       1.557267090843e-05       7.495271344322e+01 
       1.593540501169e-05       7.664207036385e+01 
       1.630658827762e-05       7.836950311790e+01 
       1.668641751249e-05       8.013587056832e+01 
       1.707509410681e-05       8.194204005958e+01 
       1.747282414203e-05       8.378892330996e+01 
       1.787981849989e-05       8.567743898309e+01 
       1.829629297419e-05       8.760850767017e+01 
       1.872246838521e-05       8.958310600262e+01 
       1.915857069678e-05       9.160220462874e+01 
       1.960483113613e-05       9.366680573555e+01 
       2.006148631645e-05       9.577794105587e+01 
       2.052877836236e-05       9.793665747209e+01 
       2.100695503829e-05       1.001440248156e+02 
       2.149626987983e-05       1.024011345976e+02 
       2.199698232821e-05       1.047091309048e+02 
       2.250935786778e-05       1.070691323371e+02 
       2.303366816684e-05       1.094823255402e+02 
       2.357019122165e-05       1.119498883701e+02 
       2.411921150383e-05       1.144730864751e+02 
       2.468102011121e-05       1.170531400290e+02 
       2.525591492214e-05       1.196913462863e+02 
       2.584420075346e-05       1.223890037055e+02 
       2.644618952212e-05       1.251474524259e+02 
       2.706220041051e-05       1.279680776971e+02 
       2.769256003577e-05       1.308522658524e+02 
       2.833760262292e-05       1.338014518278e+02 
       2.899767018207e-05       1.368171018251e+02 
       2.967311268978e-05       1.399007127061e+02 
       3.036428827461e-05       1.430538160199e+02 
       3.107156340700e-05       1.462779736507e+02 
       3.179531309359e-05       1.495747918397e+02 
       3.253592107604e-05       1.529459020333e+02 
       3.329378003452e-05       1.563929830959e+02 
       3.406929179586e-05       1.599177450515e+02 
       3.486286754667e-05       1.635219360405e+02 
       3.567492805132e-05       1.672073488503e+02 
       3.650590387503e-05       1.709758071826e+02 
       3.735623561220e-05       1.748291838703e+02 
       3.822637411995e-05       1.787693933442e+02 
       3.911678075725e-05       1.827983892831e+02 
       4.002792762947e-05       1.869181746049e+02 
       4.096029783876e-05       1.911307861600e+02 
       4.191438574014e-05       1.954383253470e+02 
       4.289069720363e-05       1.998429196580e+02 
       4.388974988252e-05       2.043467615025e+02 
       4.491207348773e-05       2.089520837431e+02 
       4.595821006880e-05       2.136611692603e+02 
       4.702871430116e-05       2.184763567584e+02 
       4.812415378036e-05       2.234000336880e+02 
       4.924510932288e-05       2.284346428026e+02 
       5.039217527420e-05       2.335826805450e+02 
       5.156595982387e-05       2.388467030951e+02 
       5.276708532800e-05       2.442293138350e+02 
       5.399618863922e-05       2.497331918399e+02 
       5.525392144439e-05       2.553610593346e+02 
       5.654095061007e-05       2.611157096595e+02 
       5.785795853618e-05       2.669999958562e+02 
       5.920564351774e-05       2.730168302431e+02 
       6.058472011518e-05       2.791692011836e+02 
       6.199591953315e-05       2.854601547623e+02 
       6.343999000828e-05       2.918928079285e+02 
       6.491769720583e-05       2.984703495729e+02 
       6.642982462573e-05       3.051960370823e+02 
       6.797717401795e-05       3.120732027437e+02 
       6.956056580762e-05       3.191052518740e+02 
       7.118083953002e-05       3.262956677085e+02 
       7.283885427573e-05       3.336480088080e+02 
       7.453548914611e-05       3.411659177426e+02 
       7.627164371944e-05       3.488531149368e+02 
       7.804823852783e-05       3.567134030226e+02 
       7.986621554539e-05       3.647506721497e+02 
       8.172653868758e-05       3.729689006240e+02 
       8.363019432236e-05       3.813721491699e+02 
       8.557819179315e-05       3.899645762706e+02 
       8.757156395399e-05       3.987504275744e+02 
       8.961136771719e-05       4.077340484638e+02 
       9.169868461369e-05       4.169198759642e+02 
       9.383462136655e-05       4.263124491485e+02 
       9.602031047771e-05       4.359164065202e+02 
       9.825691082846e-05       4.457364918436e+02 
       1.005456082939e-04       4.557775511686e+02 
       1.028876163718e-04       4.660445401276e+02 
       1.052841768257e-04       4.765425236887e+02 
       1.077365603438e-04       4.872766790494e+02 
       1.102460672122e-04       4.982522971687e+02 
       1.128140280048e-04       5.094747892458e+02 
       1.154418042883e-04       5.209496829488e+02 
       1.181307893444e-04       5.326826275866e+02 
       1.208824089088e-04       5.446794007778e+02 
       1.236981219263e-04       5.569459027409e+02 
       1.265794213255e-04       5.694881679310e+02 
       1.295278348094e-04       5.823123623593e+02 
       1.325449256657e-04       5.954247854575e+02 
       1.356322935961e-04       6.088318782462e+02 
       1.387915755639e-04       6.225402193047e+02 
       1.420244466621e-04       6.365565355967e+02 
       1.453326210019e-04       6.508876954130e+02 
       1.487178526210e-04       6.655407244020e+02 
       1.521819364141e-04       6.805227939873e+02 
       1.557267090843e-04       6.958412369578e+02 
       1.593540501169e-04       7.115035429890e+02 
       1.630658827762e-04       7.275173651061e+02 
       1.668641751249e-04       7.438905235712e+02 
       1.707509410681e-04       7.606310039039e+02 
       1.747282414203e-04       7.777469666357e+02 
       1.787981849989e-04       7.952467500084e+02 
       1.829629297419e-04       8.131388679390e+02 
       1.872246838521e-04       8.314320177587e+02 
       1.915857069678e-04       8.501350843086e+02 
       1.960483113613e-04       8.692571411704e+02 
       2.006148631645e-04       8.888074572129e+02 
       2.052877836236e-04       9.087954947819e+02 
       2.100695503829e-04       9.292309187899e+02 
       2.149626987983e-04       9.501235993913e+02 
       2.199698232821e-04       9.714836145861e+02 
       2.250935786778e-04       9.933212528359e+02 
       2.303366816684e-04       1.015647017605e+03 
       2.357019122165e-04       1.038471633772e+03 
       2.411921150383e-04       1.061806048481e+03 
       2.468102011121e-04       1.085661436989e+03 
       2.525591492214e-04       1.110049204450e+03 
       2.584420075346e-04       1.134980990702e+03 
       2.644618952212e-04       1.160468675169e+03 
       2.706220041051e-04       1.186524379815e+03 
       2.769256003577e-04       1.213160472821e+03 
       2.833760262292e-04       1.240389575300e+03 
       2.899767018207e-04       1.268224557657e+03 
       2.967311268978e-04       1.296678553079e+03 
       3.036428827461e-04       1.325764957737e+03 
       3.107156340700e-04       1.355497430783e+03 
       3.179531309359e-04       1.385889903306e+03 
       3.253592107604e-04       1.416956580428e+03 
       3.329378003452e-04       1.448711945088e+03 
       3.406929179586e-04       1.481170762361e+03 
       3.486286754667e-04       1.514348079621e+03 
       3.567492805132e-04       1.548259238081e+03 
       3.650590387503e-04       1.582919870579e+03 
       3.735623561220e-04       1.618345904541e+03 
       3.822637411995e-04       1.654553564863e+03 
       3.911678075725e-04       1.691559392754e+03 
       4.002792762947e-04       1.729380221417e+03 
       4.096029783876e-04       1.768033202927e+03 
       4.191438574014e-04       1.807535797315e+03 
       4.289069720363e-04       1.847905792725e+03 
       4.388974988251e-04       1.889161285966e+03 
       4.491207348773e-04       1.931320704263e+03 
       4.595821006879e-04       1.974402796711e+03 
       4.702871430116e-04       2.018426643726e+03 
       4.812415378036e-04       2.063411657530e+03 
       4.924510932288e-04       2.109377585695e+03 
       5.039217527420e-04       2.156344511130e+03 
       5.156595982387e-04       2.204332854524e+03 
       5.276708532800e-04       2.253363382298e+03 
       5.399618863922e-04       2.303457201638e+03 
       5.525392144439e-04       2.354635766018e+03 
       5.654095061007e-04       2.406920872178e+03 
       5.785795853618e-04       2.460334670729e+03 
       5.920564351774e-04       2.514899658534e+03 
       6.058472011518e-04       2.570638675917e+03 
       6.199591953315e-04       2.627574926515e+03 
       6.343999000828e-04       2.685731953793e+03 
       6.491769720583e-04       2.745133662774e+03 
       6.642982462573e-04       2.805804300125e+03 
       6.797717401795e-04       2.867768454059e+03 
       6.956056580762e-04       2.931051075460e+03 
       7.118083953002e-04       2.995677459337e+03 
       7.283885427573e-04       3.061673227353e+03 
       7.453548914611e-04       3.129064357296e+03 
       7.627164371944e-04       3.197877151067e+03 
       7.804823852783e-04       3.268138248275e+03 
       7.986621554539e-04       3.339874610930e+03 
       8.172653868758e-04       3.413113519361e+03 
       8.363019432236e-04       3.487882561365e+03 
       8.557819179315e-04       3.564209627864e+03 
       8.757156395399e-04       3.642122913638e+03 
       8.961136771719e-04       3.721650870025e+03 
